Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
HD 38309,,,,38309,27118,05h 45m 01.80s,+04° 00′ 29.5″,6.09,2.57,165,F0III:n,"γ Dor variable, Δ*V* = 0.008m, *P* = 0.36 d"
HD 41076,,,,41076,28686,06h 03m 24.77s,+11° 40′ 51.9″,6.09,0.25,480,A0Vs,
W Ori,,,W,32736,23680,05h 05m 23.71s,+01° 10′ 39.5″,6.1,-0.56,700,C,"semiregular variable, *V*max = 5.5m, *V*min = 6.9m, *P* = 212 d"
HD 30870,,,,30870,22597,04h 51m 43.38s,+09° 58′ 30.3″,6.11,-0.56,704,B5V,
HD 33419,,,,33419,24041,05h 10m 03.26s,−00° 33′ 54.7″,6.11,1.19,314,K0III,
HD 37232,,,,37232,26414,05h 37m 19.31s,+08° 57′ 06.8″,6.11,-1.01,867,B2IV-V,
HD 43683,,,,43683,29931,06h 18m 05.61s,+14° 22′ 58.3″,6.12,-0.33,637,A3V,
HD 35317,,,,35317,25240,05h 23m 51.33s,−00° 51′ 59.8″,6.13,2.31,189,F7V,
HD 39632,,,,39632,27900,05h 54m 13.35s,+10° 35′ 11.1″,6.13,-2.15,1475,G9II,
HD 31764,,,,31764,23161,04h 58m 59.41s,+14° 32′ 35.7″,6.14,-0.43,671,B7V,suspected variable
13 Ori,,13,,33021,23852,05h 07m 38.32s,+09° 28′ 21.8″,6.15,3.89,92,G1IV,
HD 34180,,,,34180,24493,05h 15m 18.52s,−01° 24′ 32.6″,6.15,2.84,150,F0IV,
HD 36558,,,,36558,25976,05h 32m 37.97s,+00° 00′ 43.1″,6.15,-2.16,1495,K5,
HD 37356,,,,37356,26477,05h 37m 53.39s,−04° 48′ 50.5″,6.16,-1.52,1120,B2IV-V,suspected variable
HD 35588,,,,35588,25378,05h 25m 47.02s,+00° 31′ 12.9″,6.18,-2.25,1583,B2.5V,suspected variable
HD 35693,,,,35693,25502,05h 27m 13.90s,+15° 15′ 27.6″,6.18,0.43,461,A1IV,
CK Ori,,,CK,36217,25785,05h 30m 19.91s,+04° 12′ 17.5″,6.21,-0.02,574,K2III,not variable
HD 40347,,,,40347,28252,05h 58m 11.70s,−00° 59′ 38.3″,6.21,0.77,400,K0,suspected variable
HD 37744,,,,37744,26713,05h 40m 37.29s,−02° 49′ 30.9″,6.22,-2.34,1680,B1.5V,suspected variable
HD 40282,,,,40282,28232,05h 57m 54.51s,+01° 13′ 27.5″,6.22,0.21,519,M0III,
HD 36430,,,,36430,25869,05h 31m 20.89s,−06° 42′ 30.2″,6.23,-2.43,1762,B2V,
HD 33555,,,,33555,24130,05h 10m 57.97s,−02° 15′ 13.5″,6.24,2.82,158,G8III,
HD 35640,,,,35640,25401,05h 26m 02.36s,−05° 31′ 06.6″,6.24,-0.31,667,B9.5Vn,
HD 36779,,,,36779,26106,05h 34m 03.89s,−01° 02′ 08.6″,6.24,-1.66,1240,B2.5V,suspected variable
HD 37016,,,,37016,26234,05h 35m 22.32s,−04° 25′ 27.6″,6.24,-1.46,1128,B2.5V,
HD 38495,,,,38495,27212,05h 46m 02.86s,−04° 16′ 05.9″,6.24,0.96,371,K1III...,
HD 43821,,,,43821,29982,06h 18m 40.35s,+09° 02′ 50.2″,6.24,1.11,346,K0,
HD 31623,,,,31623,23041,04h 57m 17.21s,−01° 04′ 01.9″,6.25,1.63,274,F2,
HD 36840,,,,36840,26149,05h 34m 29.29s,−00° 00′ 44.4″,6.25,-1.63,1230,G5,
HD 39927,,,,39927,28019,05h 55m 35.38s,−04° 47′ 18.7″,6.28,1.32,321,A2III,
HD 30869,,,,30869,22607,04h 51m 49.92s,+13° 39′ 18.7″,6.3,3.19,136,F5,
HD 39685,,,,39685,27902,05h 54m 15.72s,+03° 13′ 32.8″,6.3,0.16,552,K0,
BL Ori,,,BL,44984,30564,06h 25m 28.18s,+14° 43′ 19.2″,6.3,-1.7,1299,C,"semiregular variable, *V*max = 5.9m, *V*min = 6.6m, *P* = 153 d"
HD 32115,,,,32115,23296,05h 00m 39.82s,−02° 03′ 57.7″,6.31,2.83,162,A8IV,
V1197 Ori,,,V1197,38099,26953,05h 43m 09.32s,−01° 36′ 47.4″,6.31,-0.28,679,K4III,"rotating ellipsoidal variable, *V*max = 6.21m, *V*min = 6.31m, *P* = 143 d"
HD 43819,,,V1155,43819,30019,06h 19m 01.85s,+17° 19′ 31.0″,6.32,-0.11,631,B9IIIsp...,"α2 CVn variable, Δ*V* = 0.02m, *P* = 15.03 d"
Meissa B,λ,39,,36862,26207,05h 35m 08.50s,+09° 56′ 06.0″,6.32,-1.94,1055,B0.5V,component of the Meissa system
HD 30321,,,,30321,22189,04h 46m 24.15s,−02° 57′ 15.8″,6.33,1.68,277,A2V,
HD 33946,,,,33946,24377,05h 13m 47.25s,+00° 33′ 37.7″,6.33,-0.7,832,M0V,suspected variable
HD 34648,,,,34748,24847,05h 19m 35.28s,−01° 24′ 42.8″,6.33,-2.45,1863,B1.5Vn,
HD 35407,,,,35407,25288,05h 24m 36.10s,+02° 21′ 11.4″,6.33,-1.55,1226,B4IVn,
HD 36285,,,,36285,25786,05h 30m 20.75s,−07° 26′ 05.3″,6.33,-1.53,1216,B2IV-V,
HD 31739,,,,31739,23092,04h 58m 10.90s,−02° 12′ 46.0″,6.34,0.62,454,A2V,
V1649 Ori,,,V1649,35242,25205,05h 23m 31.08s,+05° 19′ 23.0″,6.34,1.96,245,A2V,δ Sct variable
HD 35909,,,,35909,25638,05h 28m 34.77s,+13° 40′ 44.5″,6.35,1.38,322,A4V,
HD 44867,,,,44867,30517,06h 24m 52.76s,+16° 03′ 26.0″,6.35,0.99,385,G9III,
HD 35775,,,,35775,25505,05h 27m 15.40s,+02° 20′ 28.3″,6.36,0.78,425,K0,
HD 42351,,,,42351,29326,06h 11m 01.77s,+18° 07′ 49.7″,6.37,-3.18,2650,K1II,suspected variable
HD 43358,,,,43358,29746,06h 15m 53.98s,+01° 10′ 08.4″,6.37,1.53,303,F5IV:,
HD 36058,,,,36058,25667,05h 28m 56.91s,−03° 18′ 26.7″,6.39,-0.45,762,A0Vn,
