Name,B,F,Var,HD,HIP,RA,Dec,"vis.
mag.","abs.
mag.",Dist. (ly),Sp. class,Notes
65 UMa,,65,,103498,58117,11h 55m 11.32s,+46° 28′ 11.2″,7.03,-0.46,1025,A1spe...,
72 UMa,,72,,108346,60712,12h 26m 32.60s,+55° 09′ 33.9″,7.03,1.22,472,Am,
40 UMa,,40,,93075,52650,10h 45m 59.86s,+56° 55′ 14.9″,7.11,1.88,363,A8V,
HD 96127,,,,96127,54232,11h 05m 46 s,+44° 18′ 06 ″,7.43,-1.23,1761,K2III,has a planet (b)
Lalande 21185,,,,95735,54035,11h 03m 20.19s,+35° 58′ 11.5″,7.49,10.46,8.29,M2V,4th closest star system; planets suspected
,,,,116798,,13h 24m 52s,+54° 53′ 51″,7.59,2.18,393,A5,Sidus Ludoviciana
HD 99706,,,,99706,55994,11h 28m 30s,+43° 58′ 00 ″,7.81,2.26,421,K0,has a planet (b)
W UMa,,,W,83950,47727,09h 43m 45.47s,+55° 57′ 09.1″,7.96,4.48,162,F8Vp+...,prototype of W UMa variables
HD 102956,,,,102956,57820,11h 51m 23s,+57° 38′ 27″,8,2.5,411,A,has a planet (b)
HD 118203,,,,118203,66192,13h 34m 02.54s,+53° 43′ 42.7″,8.07,3.33,289,K0,has a planet (b)
T UMa,,,T,109729,61532,12h 36m 23.47s,+59° 29′ 13.0″,8.11,-3.19,5930,M4IIIe,Mira-type variable star
HD 95127,,,,95127,53733,10h 59m 35.0s,+43° 48′ 52″,8.15,0.77,978,K0,has a planet (b)
HD 68988,,,,68988,40687,08h 18m 22.17s,+61° 27′ 38.6″,8.21,4.36,192,G0,has two planets (b & c)
R UMa,,,R,92763,52546,10h 44m 38.47s,+68° 46′ 32.7″,8.41,0.95,1013,M4e,Mira-type variable star
HD 80606,,,,80606,45982,09h 22m 37.57s,+50° 36′ 13.4″,8.93,5.1,190,G5,has a transiting planet (b)
HIP 57274,,,,,57274,11h 44m 41s,+30° 57′ 33 ″,8.96,6.88,85,K5V,"have three planets (b, c and d)"
Winnecke 4,,,,,,12h 22m 12.5s,+58° 04′ 59″,9,3,510,,Messier 40; optical double star
SZ UMa,,,SZ,,55360,11h 20m 04.83s,+65° 50′ 47.4″,9.32,9.52,30,M0,variable star
HAT-P-22,,,,233731,,10h 22m 44s,+50° 07′ 42″,9.73,,267,G5,has a transiting planet (b)
HD 233604,,,,233604,,09h 09m 49.0s,+53° 34′ 05″,10.41,,,K5,has a planet (b)
HAT-P-13,,,,,,08h 39m 31.81s,+47° 21′ 07.3″,10.62,3.97,698,G4,"has a transiting planet (b), a brown dwarf (c) and one unconfirmed planet (d
)"
HAT-P-21,,,,,,11h 25m 06s,+41° 01′ 41″,11.46,4.44,828,G3,has a transiting planet (b)
